Id,Name,Id Hash
SKILL_140_00,Crabby Resonance,082033CB
SKILL_141_04,Crabvestment Returns,D461ECFB
SKILL_142_00,Seven Net,9AD8B5E6
SKILL_143_00,Catastrophe,40223C28
SKILL_144_00,Stronghold,74AA75D6
SKILL_145_00,Power Hungry,DC225C96
SKILL_146_00,War Elemental,4C588C27
SKILL_147_00,Path to Mastery,5E422AE5
SKILL_150_00,Untouchable,AF794A87
SKILL_151_00,Supplementary DMG,57AB5B10
SKILL_152_00,Less Is More,82CE278D
SKILL_153_00,Head Start,1568E0E4
SKILL_154_00,Berserker,70395731
SKILL_156_00,Potent Greens,CD18A77D
SKILL_157_00,Roll of the Die,333E5862
SKILL_158_00,Glass Cannon,A8A3163B
SKILL_159_00,Flight over Fight,EC1C6779
SKILL_160_00,Alpha,DBE1D775
SKILL_161_00,Beta,8D2ADB6E
SKILL_162_00,Gamma,5C862E13
